COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
[NULL],7F06,,44.2,6.64,47.35,49.16,8.62,0,6.64,orange
[NULL],7F06,,43.69,6.87,46.91,49.45,08.06,0,6.87,orange
N006,FP05,,50.16,5.78,53.23,44.06,0,0,5.78,green
N00D,DP14,91870381,39.81,05.01,41.91,55.18,0,0,05.01,green
[NULL],7F08,,45.61,6.75,48.91,47.64,0,0,6.75,orange
[NULL],7F08,,44.45,6.94,47.76,48.61,0,0,6.94,orange
N006,FP04,,42.35,07.04,45.55,50.62,0,0,07.04,red
N006,FP04,,39.7,7.1,42.73,53.21,0,0,7.1,red
N006,FP04,,39.7,7.1,42.73,53.21,0,0,7.1,red
N003,CP09,,44.7,7.58,48.37,47.72,0.07,0,7.58,red
N003,CP02,,39.18,7.2,42.22,53.63,1.1,0,7.2,red
N003,CP09,,45.78,6.92,49.18,47.3,0.22,0,6.92,green
N003,CP09,,46.25,6.86,49.66,46.88,0.23,0,6.86,green
N003,CP02,,40.18,7.88,43.62,51.94,1.32,0,7.88,red
N003,CP02,,39.14,6.38,41.81,54.48,0.21,0,6.38,green
N003,CP02,,40.96,6.54,43.82,52.5,0.43,0,6.54,green
N014,NP01,91872189,48.36,6.39,51.66,45.25,0,0,6.39,green
N014,NP01,91872189,49.78,5.87,52.89,44.35,0,0,5.87,green
N014,NP01,91872189,47.04,07.08,50.63,45.87,0,0,07.08,red
N014,NP01,91872189,41.85,09.02,45.99,49.14,0,0,09.02,red
N014,NP01,91872189,51.13,3.1,52.76,45.77,0,0,3.1,green
N003,CP09,,36.32,12.57,41.54,51.11,2.48,0,12.57,red
N003,CP09,,39.6,8.95,43.49,51.45,0.49,0,8.95,red
N003,CP09,,38.67,11.65,43.76,49.68,3.13,0,11.65,red
